STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64A,소득,,,A,2003,2023,21,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64AA,농가순소득,I64A,소득,A,2003,2023,21,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64AAA,농업소득,I64AA,농가순소득,A,2003,2023,21,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64AAB,농외소득,I64AA,농가순소득,A,2003,2023,21,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64AB,이전소득,I64A,소득,A,2003,2023,21,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64AC,비경상소득,I64A,소득,A,2003,2023,21,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64B,지출,,,A,2003,2023,21,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64BA,소비지출,I64B,지출,A,2003,2023,21,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64BAA,식료품및비주류음료,I64BA,소비지출,A,2009,2023,15,천원 ,
901Y024,8.7.6. 농가가계수지,Group1,계정항목,I64BAB,주류및담배,I64BA,소비지출,A,2009,2023,15,천원 ,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group1,업종코드,ZZZ00,전산업,,,A,2009,2023,225,,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group1,업종코드,C,제조업,,,A,2009,2023,225,,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group2,계정항목,707,부채비율,,,A,2009,2023,30,% ,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group2,계정항목,701,자기자본비율,,,A,2009,2023,30,% ,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group2,계정항목,710,차입금의존도,,,A,2009,2023,30,% ,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group2,계정항목,702,유동비율,,,A,2009,2023,30,% ,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group2,계정항목,7051,비유동비율,,,A,2009,2023,30,% ,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group2,계정항목,611,매출액영업이익률,,,A,2009,2023,30,% ,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group2,계정항목,6091,매출액세전순이익률,,,A,2009,2023,30,% ,
501Y011,"5.1.1.1. 기업경영분석지표(2009~,전수조사)",Group2,계정항목,627,이자보상비율,,,A,2009,2023,30,% ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1010000,교환장수전국,1000000,교환,A,1960,2023,64,천장 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1010000,교환장수전국,1000000,교환,M,196001,202411,779,천장 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1010000,교환장수전국,1000000,교환,Q,1960Q1,2024Q3,259,천장 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1020000,교환금액전국,1000000,교환,A,1960,2023,64,십억원 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1020000,교환금액전국,1000000,교환,M,196001,202411,779,십억원 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1020000,교환금액전국,1000000,교환,Q,1960Q1,2024Q3,259,십억원 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1030000,1장당평균금액전국,,,A,1960,2023,64,천원 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1030000,1장당평균금액전국,,,M,196001,202411,779,천원 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1030000,1장당평균금액전국,,,Q,1960Q1,2024Q3,259,천원 ,
801Y002,7.1.1. 어음교환 및 부도,Group1,계정항목,1040000,1일평균교환장수전국,3000000,1일평균교환,A,1960,2023,64,천장 ,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,ZZZ00,전산업,,,A,2002,2007,79,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,B,B 어업,,,A,1998,2007,131,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,C,C 광업,,,A,1998,2007,131,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,D,D 제조업,,,A,1998,2007,393,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,D15,D15 음식료품,D,D 제조업,A,1998,2007,393,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,D151,"D151 고기, 과실, 채소 및 유지가공업",D15,D15 음식료품,A,1998,2007,131,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,D152,D152 낙농제품 및 아이스크림,D15,D15 음식료품,A,1998,2007,131,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,D153,"D153 곡물가공품, 전분 및 사료",D15,D15 음식료품,A,1998,2007,131,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,D154,D154 기타 식품,D15,D15 음식료품,A,1998,2007,131,,
501Y032,"5.1.4.5. 자산/자본 지표(1998~2007, 표본조사)",Group1,업종코드,D1541,D1541 빵류및 곡분과자,D154,D154 기타 식품,A,1998,2007,131,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,ZZZ00,전산업,,,A,2009,2014,648,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,A01,A01 농업,,,A,2009,2014,648,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,A03,A03 어업,,,A,2009,2014,648,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,B,B 광업,,,A,2009,2014,648,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,C,C 제조업,,,A,2009,2014,648,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,C10,C10 식료품,C,C 제조업,A,2009,2014,648,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,C104,"C101-4 고기, 과실, 채소 및 유지 가공업",C10,C10 식료품,A,2009,2014,216,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,C105,C105 낙농제품 및 식용빙과류,C10,C10 식료품,A,2009,2014,216,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,C108,"C106,8 곡물가공품, 전분제품, 사료 및 조제식품",C10,C10 식료품,A,2009,2014,216,,
501Y057,"5.4.3. 손익계산서(조세특례제한법, 2009~2014)",Group1,업종코드,C107,C107 기타 식품,C10,C10 식료품,A,2009,2014,216,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C,C 제조업,,,A,2011,2023,192,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C10,C10 식료품,C,C 제조업,A,2011,2023,192,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C11,C11 음료,C,C 제조업,A,2011,2023,192,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C13,C13 섬유제품(의복제외),C,C 제조업,A,2011,2023,192,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C14,"C14 의복, 의복액세서리 및 모피제품 ",C,C 제조업,A,2011,2023,192,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C15,"C15 가죽, 가방 및 신발 ",C,C 제조업,A,2011,2023,192,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C16,C16 목재 및 나무제품(가구 제외),C,C 제조업,A,2011,2023,191,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C17,"C17 펄프, 종이 및 종이제품 ",C,C 제조업,A,2011,2023,192,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C18,C18 인쇄 및 기록매체 복제업,C,C 제조업,A,2011,2023,192,,
501Y015,5.8.3.1. 현금흐름비율(2012~),Group1,업종코드,C19,"C19 코크스, 연탄 및 석유정제품",C,C 제조업,A,2011,2023,192,,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,1000000,가계신용,,,A,2002,2023,22,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,1000000,가계신용,,,Q,2002Q4,2024Q3,88,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,1100000,가계대출,1000000,가계신용,A,2002,2023,22,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,1100000,가계대출,1000000,가계신용,Q,2002Q4,2024Q3,88,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,11100A0,주택담보대출-예금취급기관,11000A0,주택담보대출,A,2007,2023,17,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,11100A0,주택담보대출-예금취급기관,11000A0,주택담보대출,Q,2007Q4,2024Q3,68,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,11100B0,기타대출-예금취급기관,11000B0,기타대출,A,2007,2023,17,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,11100B0,기타대출-예금취급기관,11000B0,기타대출,Q,2007Q4,2024Q3,68,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,11110A0,주택담보대출-예금은행,11100A0,주택담보대출-예금취급기관,A,2005,2023,19,십억원 ,
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Group1,계정항목,11110A0,주택담보대출-예금은행,11100A0,주택담보대출-예금취급기관,Q,2005Q4,2024Q3,76,십억원 ,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,ZZZ00,전산업,,,A,2010,2023,288,,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,A01,A01 농업,,,A,2010,2023,288,,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,A03,A03 어업,,,A,2010,2023,270,,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,B,B 광업,,,A,2010,2023,288,,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,C,C 제조업,,,A,2010,2023,288,,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,C10,C10 식료품,C,C 제조업,A,2010,2023,288,,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,C104,"C101-4. 육류, 수산물, 과실, 채소 및 유지 가공",C10,C10 식료품,A,2010,2023,84,,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,C105,C105 낙농제품 및 식용빙과류,C10,C10 식료품,A,2010,2023,84,,
501Y005,"5.1.2.1. 성장성 지표(제10차 한국표준산업분류, 2009~)",Group1,업종코드,C108,"C106,8 곡물가공품, 전분제품, 사료 및 조제식품",C10,C10 식료품,A,2010,2023,84,,
