,CLASS_NAME,KEYSTAT_NAME,DATA_VALUE,CYCLE,UNIT_NAME
0,시장금리,한국은행 기준금리,3,20250102,% 
1,시장금리,콜금리(익일물),3.029,20250102,% 
2,시장금리,KORIBOR(3개월),3.27,20250103,% 
3,시장금리,CD수익률(91일),3.15,20250103,% 
4,시장금리,통안증권수익률(364일),2.646,20250103,% 
5,시장금리,국고채수익률(3년),2.482,20250103,% 
6,시장금리,국고채수익률(5년),2.643,20250103,% 
7,시장금리,"회사채수익률(3년,AA-)",3.17,20250103,% 
8,여수신금리,예금은행 수신금리,3.35,202411,% 
9,여수신금리,예금은행 대출금리,4.76,202411,% 
10,예금/대출금,예금은행총예금(말잔),2072068.2,202410,십억원 
11,예금/대출금,예금은행대출금(말잔),2393352.9,202410,십억원 
12,예금/대출금,가계신용,1913814.3,2024Q3,십억원 
13,예금/대출금,가계대출연체율,0.4,202410,% 
14,통화량,"M1(협의통화, 평잔)",1232382.7,202410,십억원 
15,통화량,"M2(광의통화, 평잔)",4109740.1,202410,십억원 
16,통화량,Lf(평잔),5591244,202410,십억원 
17,통화량,L(말잔),7044274,202410,십억원 
18,환율,원/달러 환율(종가),1468.4,20250103,원 
19,환율,원/엔(100엔) 환율(매매기준율),932.19,20250103,원 
20,환율,원/유로 환율(매매기준율),1507.43,20250103,원 
21,환율,원/위안 환율(종가),200.1,20250103,원 
22,주식,코스피지수,2441.92,20250103,1980.01.04=100 
23,주식,코스닥지수,705.76,20250103,1996.07.01=1000
24,주식,주식거래대금(KOSPI),208.3,202411,조원
25,주식,투자자예탁금,52.3,202411,조원
26,채권,채권거래대금,107.7,202411,조원
27,채권,국고채발행액,10987,202410,십억원 
28,성장률,"경제성장률(실질, 계절조정 전기대비)",0.1,2024Q3,% 
29,성장률,"민간소비증감률(실질, 계절조정 전기대비)",0.5,2024Q3,% 
30,성장률,"설비투자증감률(실질, 계절조정 전기대비)",6.5,2024Q3,% 
31,성장률,"건설투자증감률(실질, 계절조정 전기대비)",-3.6,2024Q3,% 
32,성장률,"재화의 수출 증감률(실질, 계절조정 전기대비)",-0.3,2024Q3,% 
